1524758019,https://www.amazon.com/Cracking-Computer-Science-Exam-2019/dp/1524758019,"Cracking the AP Computer Science A Exam, 2019 Edition: Practice Tests & Proven Techniques to Help You Score a 5 (College Test Preparation)",None,Princeton Review,2.9 out of 5 stars,None,None,None,"In stock on September 24, 2018.
        
        
    
Order it now."
1260019993,https://www.amazon.com/Steps-AP-Computer-Science-Principles/dp/1260019993,5 Steps to a 5 AP Computer Science Principles,1st Edition,,None,None,$10.85,$12.19,In Stock.
0262036630,https://www.amazon.com/Once-Upon-Algorithm-Stories-Computing/dp/0262036630,Once Upon an Algorithm: How Stories Explain Computing (The MIT Press),None,Martin Erwig,4.1 out of 5 stars,None,None,None,In Stock.
0486691152,https://www.amazon.com/Introductory-Discrete-Mathematics-Computer-Science/dp/0486691152,Introductory Discrete Mathematics (Dover Books on Computer Science),None,V. K . Balakrishnan,3.8 out of 5 stars,None,None,None,In Stock.
1590282752,https://www.amazon.com/Python-Programming-Introduction-Computer-Science/dp/1590282752,"Python Programming: An Introduction to Computer Science, 3rd Ed.",3rd Edition,,4.4 out of 5 stars,None,None,None,Usually ships within 1 to 2 months.
1617292230,https://www.amazon.com/Grokking-Algorithms-illustrated-programmers-curious/dp/1617292230,Grokking Algorithms: An illustrated guide for programmers and other curious people,1st Edition,Aditya Bhargava,4.6 out of 5 stars,None,$27.90,$42.74,In Stock.
1481452495,https://www.amazon.com/Ada-Lovelace-Poet-Science-Programmer/dp/1481452495,"Ada Lovelace, Poet of Science: The First Computer Programmer",None,,4.6 out of 5 stars,None,None,None,In Stock.
0534491324,https://www.amazon.com/Computer-Science-Structured-Programming-Approach/dp/0534491324,Computer Science: A Structured Programming Approach Using C (3rd Edition),3rd Edition,Behrouz A. Forouzan,3.9 out of 5 stars,$19.97,$57.82,$98.19,Only 5 left in stock - order soon.
1119327636,https://www.amazon.com/Data-Science-Dummies-Computers/dp/1119327636,Data Science For Dummies (For Dummies (Computers)),2nd Edition,Lillian Pierson,4.2 out of 5 stars,None,$18.33,$25.49,In Stock.
0262510871,https://www.amazon.com/Structure-Interpretation-Computer-Programs-Engineering/dp/0262510871,Structure and Interpretation of Computer Programs - 2nd Edition (MIT Electrical Engineering and Computer Science),second edition Edition,Harold Abelson&Gerald Jay Sussman&Julie Sussman,4.5 out of 5 stars,None,$33.11,$48.29,In Stock.
0486477673,https://www.amazon.com/Boolean-Algebra-Applications-Computer-Science/dp/0486477673,Boolean Algebra and Its Applications (Dover Books on Computer Science),None,J. Eldon Whitesitt,3.6 out of 5 stars,None,None,None,Only 13 left in stock (more on the way).
0198733461,https://www.amazon.com/Computer-Science-Short-Introduction-Introductions/dp/0198733461,Computer Science: A Very Short Introduction (Very Short Introductions),1st Edition,Subrata Dasgupta,3.6 out of 5 stars,None,$4.97,$10.66,In Stock.
1492981540,https://www.amazon.com/Beginners-Guide-Engineering-Computer/dp/1492981540,The Beginner's Guide to Engineering: Computer Engineering,,,4.7 out of 5 stars,None,None,None,Available to ship in 1-2 days.
1484226038,https://www.amazon.com/Blockchain-Basics-Non-Technical-Introduction-Steps/dp/1484226038,Blockchain Basics: A Non-Technical Introduction in 25 Steps,1st ed. Edition,Daniel Drescher,4.5 out of 5 stars,None,$18.49,$19.74,Available to ship in 1-2 days.
0132569035,https://www.amazon.com/Computer-Science-Overview-Glenn-Brookshear/dp/0132569035,Computer Science: An Overview (11th Edition),11th Edition,J. Glenn Brookshear,3.8 out of 5 stars,None,None,None,None
B0064W5UAS,https://www.amazon.com/Automate-This-Algorithms-Markets-World-ebook/dp/B0064W5UAS,None,None,Christopher Steiner,4.3 out of 5 stars,None,None,None,None
1593279108,https://www.amazon.com/Computer-Science-Activity-Book-Paper/dp/1593279108,The Computer Science Activity Book: 24 Pen-and-Paper Projects (No Computer Required!),,,None,None,None,None,"This title will be released on November 6, 2018."
B01GWKVBEK,https://www.amazon.com/Computer-Science-Coffee-Mug-Programmer/dp/B01GWKVBEK,Computer Science Coffee Mug - C++ Programmer Gift - 11 Ounce Ceramic,None,,4.4 out of 5 stars,None,None,None,None
0521876583,https://www.amazon.com/Quantum-Computer-Science-David-Mermin/dp/0521876583,Quantum Computer Science: An Introduction,1st Edition,N. David Mermin,4.1 out of 5 stars,None,$52.70,$60.54,Only 18 left in stock (more on the way).
0199586594,https://www.amazon.com/Computer-Very-Short-Introduction/dp/0199586594,The Computer: A Very Short Introduction,1st Edition,Darrel Ince,5.0 out of 5 stars,None,$2.79,$11.95,In Stock.
B01FTF81TM,https://www.amazon.com/Turings-Vision-Birth-Computer-Science-ebook/dp/B01FTF81TM,None,None,,4.5 out of 5 stars,None,None,None,None
1465473602,https://www.amazon.com/Help-Your-Kids-Computer-Science/dp/1465473602,Help Your Kids with Computer Science,None,DK,5.0 out of 5 stars,None,None,None,In Stock.
158089884X,https://www.amazon.com/Baby-Loves-Coding-Science/dp/158089884X,Baby Loves Coding! (Baby Loves Science),None,Ruth Spiro&Irene Chan,4.2 out of 5 stars,None,None,None,In Stock.
013487546X,https://www.amazon.com/Computer-Science-Overview-13th-Whats/dp/013487546X,Computer Science: An Overview (13th Edition) (What's New in Computer Science),13th Edition,,None,None,None,None,Only 19 left in stock (more on the way).
B01ABCBKGY,https://www.amazon.com/HACKING-Beginners-Essential-Penetration-Programming-ebook/dp/B01ABCBKGY,None,None,,3.9 out of 5 stars,None,None,None,None
0262033844,https://www.amazon.com/Introduction-Algorithms-3rd-MIT-Press/dp/0262033844,"Introduction to Algorithms, 3rd Edition (The MIT Press)",3rd Edition,Thomas H. Cormen&Charles E. Leiserson&Ronald L. Rivest&Clifford Stein,4.3 out of 5 stars,$36.87,$56.03,$73.95,Only 12 left in stock - order soon.
